"Product title","Product vendor","Product type","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"Berberine Complex","Natroceutics","Botanical, Supplement",16,592.9,0,0,592.9,0,592.9
"Glutathione SOD Advanced","Natroceutics","Supplement, Daily Wellbeing",10,566.4,0,0,566.4,0,566.4
"Omega 3 Fortified","Natroceutics","Supplement, Daily Wellbeing",12,455.46,0,0,455.46,0,455.46
"Bergamot-HT Complex","Natroceutics","Botanical, Supplement, Daily Wellbeing",9,374,0,0,374,0,374
"Sulforaphane NRF2 Complex","Natroceutics","Supplement, Daily Wellbeing",7,297,0,0,297,0,297
"Saffron Bioactive","Natroceutics","Supplement, Daily Wellbeing",12,272.6,-2.35,0,270.25,0,270.25
"Curcumin Fortified","Natroceutics","Supplement, Daily Wellbeing",6,252.3,0,0,252.3,0,252.3
"Activated B-Complex Advanced","Natroceutics","Supplement, Daily Wellbeing",10,247,0,0,247,0,247
"Creatine Bioactive","Natroceutics","Supplement, Daily Wellbeing",9,247.95,-17.1,0,230.85,0,230.85
"Curcumin Complete","Natroceutics","Supplement, Daily Wellbeing",5,186.75,0,0,186.75,0,186.75
"OPTI-VITA Complex","Natroceutics","Supplement, Daily Wellbeing",4,155.81,0,0,155.81,0,155.81
"Omega 3 Pure & Wild","Natroceutics","Supplement, Daily Wellbeing",5,150.4,0,0,150.4,0,150.4
"CoQ10 + PQQ Advanced","Natroceutics","Supplement, Daily Wellbeing",4,148.2,0,0,148.2,0,148.2
"Magnesium Glycinate Complex","Natroceutics","Supplement, Daily Wellbeing",6,142.5,0,0,142.5,0,142.5
"Vitamin C Complete","Natroceutics","Supplement, Daily Wellbeing",5,141.25,0,0,141.25,0,141.25
"Quercetin Bioactive","Natroceutics","Supplement, Daily Wellbeing",4,111.15,-5.55,0,105.6,0,105.6
"Magnesium Trace Mineral Complex","Natroceutics","Supplement, Daily Wellbeing",4,104,-3.9,0,100.1,0,100.1
"Coenzyme Q10 Advanced","Natroceutics","Supplement, Daily Wellbeing",4,98.8,0,0,98.8,0,98.8
"Alpha Lipoic Acid Bioactive","Natroceutics","Daily Wellbeing, Supplement",3,88.5,0,0,88.5,0,88.5
"Milk Thistle Bioactive","Natroceutics","Supplement, Daily Wellbeing",3,66.15,0,0,66.15,0,66.15
"APIMILE™ Bioactive","Natroceutics","Botanical, Supplement, Daily Wellbeing",1,20.95,0,0,20.95,0,20.95
